"location_id","location_type__001","location_type__002","location_type__003","location_type__004","open_soon","latitude","longitude"
"brussels","store","","","","0","50.8358250000","4.3562500000"
"egerkingensupercharger","supercharger","standard charger","","","0","47.3265235000","7.8048088000"
"liernorthsupercharger","supercharger","standard charger","","","0","59.7708328000","10.2621389000"
"london","store","supercharger","standard charger","","0","51.5078880000","-0.2219720000"
"muhldorfsupercharger","supercharger","standard charger","","","0","48.2725284000","12.5503100000"
"narbonnesupercharger","supercharger","standard charger","","","0","43.1685194000","2.9850479000"
"nivellessud","supercharger","standard charger","","","0","50.5883964000","4.3073880000"
"sanrafael","service","standard charger","","","0","37.9631390000","-122.5153920000"
"satteldorfsupercharger","supercharger","standard charger","","","0","49.1818243000","10.0683560000"
"thedallessupercharger","supercharger","standard charger","","","0","45.6119410000","-121.2082490000"
"pasadena","store","","","","0","34.1460088000","-118.1529974000"
"kastrup","service","","","","0","55.6144380000","12.6135240000"
"euvensesteenweg","store","service","","","0","50.8712310000","4.4648110000"
"dc482","destination charger","","","","0","33.8011160000","-116.5400610000"
"dc390","destination charger","","","","0","44.4785780000","-88.0530610000"
"dc332","destination charger","","","","0","42.3339740000","-83.0430690000"
"dc260","destination charger","","","","0","39.4897200000","-119.7956220000"
"dc183","destination charger","","","","0","34.4350650000","-119.9202360000"
"dc210","destination charger","","","","0","42.9565150000","-71.5086560000"
"dc166","destination charger","","","","0","36.1112380000","-115.1732450000"
"dc313","destination charger","","","","0","26.3399680000","-80.0784010000"
"dc327","destination charger","","","","0","36.7318870000","-108.1998820000"
"dc176","destination charger","","","","0","39.3243490000","-120.1693760000"
"dc723","destination charger","","","","0","43.6017180000","-89.7603140000"
"dc199","destination charger","","","","0","44.9508120000","-89.6632640000"
