"location_id","location_type__001","location_type__002","location_type__003","open_soon","latitude","longitude"
"eldsvollverknorwaysupercharger","supercharger","standard charger","","0","60.3121530000","11.1448880000"
"dc10954","standard charger","destination charger","","0","55.5651370000","12.9724420000"
"dc13737","destination charger","standard charger","","0","45.8771220000","6.1416760000"
"dc17633","destination charger","standard charger","","0","57.4825420000","-4.3006540000"
"dc13910","destination charger","standard charger","","0","51.4775860000","-0.0141500000"
"dc14510","destination charger","standard charger","","0","43.4921290000","11.0207610000"
"dc16147","destination charger","standard charger","","0","62.6936140000","9.0978440000"
"dc10819","destination charger","standard charger","","0","46.5662910000","4.9075980000"
"dc18325","destination charger","standard charger","","0","47.6756780000","9.4414410000"
"dc13747","destination charger","standard charger","","0","52.1025940000","4.3644550000"
"dc13354","destination charger","standard charger","","0","46.5887130000","7.6472310000"
"dc13691","destination charger","standard charger","","0","43.9167450000","8.0922140000"
"dc18303","destination charger","standard charger","","0","46.9487820000","7.4408180000"
"dc11697","destination charger","standard charger","","0","47.9969170000","7.8455820000"
"dc12350","destination charger","standard charger","","0","46.7454540000","7.6336420000"
"dc12878","destination charger","standard charger","","0","47.3833990000","8.6692850000"
"dc14519","standard charger","destination charger","","0","42.7979480000","10.9728830000"
"dc15248","destination charger","standard charger","","0","53.5473340000","8.5692610000"
"dc15250","destination charger","standard charger","","0","47.4045900000","10.2710200000"
"dc15856","destination charger","standard charger","","0","46.9282100000","9.0018110000"
"dc17974","destination charger","standard charger","","0","50.1172170000","8.6800270000"
"dc12035","destination charger","standard charger","","0","45.4579640000","4.7598590000"
"dc14872","destination charger","standard charger","","0","43.1908500000","-0.2175590000"
"dc18863","destination charger","standard charger","","0","46.3940010000","6.5706850000"
"dc18864","destination charger","standard charger","","0","46.4017810000","6.5896480000"
"dc18228","destination charger","standard charger","","0","47.9786700000","16.8480730000"
"dc11722","destination charger","standard charger","","0","52.9283950000","-4.1334450000"
"dc14733","destination charger","standard charger","","0","51.7710890000","-4.4622000000"
"dc16497","destination charger","standard charger","","0","43.2633010000","3.3199950000"
"dc12099","destination charger","standard charger","","0","47.4383770000","8.5653060000"
"dc14455","destination charger","standard charger","","0","46.7116080000","9.5404700000"
"dc17118","destination charger","standard charger","","0","47.4621620000","11.1840510000"
"dc18311","destination charger","standard charger","","0","47.5798260000","7.5965810000"
"dc19089","destination charger","standard charger","","0","43.8126230000","7.7645200000"
"dc9619","destination charger","standard charger","","0","39.8025050000","2.6961000000"
"dc14921","destination charger","standard charger","","0","57.2846420000","10.9362940000"
"dc16837","destination charger","standard charger","","0","43.3044490000","5.4815680000"
"dc16976","destination charger","standard charger","","0","36.4895080000","-4.9616620000"
"dc18823","destination charger","standard charger","","0","55.0604270000","10.6357650000"
"dc18992","destination charger","standard charger","","0","47.4733010000","9.4827060000"
"dc19017","destination charger","standard charger","","0","46.1866440000","-1.3174580000"
"dc19079","destination charger","standard charger","","0","51.3430660000","12.3748430000"
"dc19090","destination charger","standard charger","","0","42.0784250000","-1.5658450000"
"dc9790","standard charger","destination charger","","0","44.1936290000","15.1523000000"
"dc13270","destination charger","standard charger","","0","51.9555470000","7.6056310000"
"dc14530","destination charger","standard charger","","0","42.5693850000","-2.6143320000"
"dc18417","destination charger","standard charger","","0","43.7856360000","4.8409900000"
"dc11617","standard charger","destination charger","","0","45.3555180000","14.3263230000"
"dc14141","destination charger","standard charger","","0","51.2134020000","3.2256110000"
"dc18533","destination charger","","","0","20.6734420000","-103.3892570000"
"dc6399","destination charger","","","0","38.0919930000","-84.4844160000"
"dc17235","destination charger","","","0","35.9076310000","-75.6706300000"
"dc14441","destination charger","","","0","44.4165210000","-118.9548300000"
"dc17435","destination charger","","","0","25.8249020000","-80.1216820000"
"dc17478","destination charger","","","0","39.3996900000","-123.3490820000"
"dc13004","destination charger","","","0","38.4782150000","-122.4377670000"
"dc14188","destination charger","","","0","19.3683940000","-99.2611900000"
"dc14806","destination charger","","","0","26.1987340000","-98.2607230000"
"dc15074","destination charger","","","0","45.7443100000","-73.7203220000"
"dc15548","destination charger","","","0","30.1492020000","-96.3860610000"
"dc17214","destination charger","","","0","33.8489910000","-118.3948970000"
"dc18547","destination charger","","","0","21.0811000000","-86.7738400000"
"dc20107","destination charger","","","0","35.4949250000","-120.8090020000"
"dc15509","destination charger","","","0","29.7774380000","-95.9668500000"
"dc12539","destination charger","","","0","29.0174220000","-80.9179190000"
"dc15316","destination charger","","","0","30.2500910000","-97.7484300000"
"dc16707","destination charger","","","0","44.0618840000","-71.6265650000"
"dc14616","destination charger","standard charger","","0","-35.2838800000","149.1258670000"
"dc12259","destination charger","standard charger","","0","-35.2727710000","149.1331870000"
"dc18889","destination charger","standard charger","","0","-24.8841370000","113.6550630000"
"dc13685","destination charger","standard charger","","0","22.3207755000","114.2101545000"
"shenzhenyayuansupercharger","supercharger","standard charger","","0","22.5555460000","114.1273500000"
"guangzhouwhiteswansupercharger","supercharger","standard charger","","0","23.1052970000","113.2438890000"
"parrysoundsupercharger","supercharger","standard charger","","0","45.3455860000","-80.0061620000"
"crescentcitysupercharger","supercharger","standard charger","","0","41.7523930000","-124.1944000000"
"brewersupercharger","supercharger","standard charger","","0","44.7758280000","-68.7346470000"
"lleidasupercharger","supercharger","standard charger","","0","41.6639590000","0.6053710000"
"pagearizonasupercharger","supercharger","standard charger","","0","36.9249020000","-111.4680410000"
"dc18937","destination charger","standard charger","","0","-33.8459000000","151.0608600000"
"dc15891","destination charger","standard charger","","0","-36.4147260000","148.6166470000"
"dc16967","destination charger","standard charger","","0","-38.5220900000","145.3140810000"
"dc18703","destination charger","standard charger","","0","-38.5045610000","145.2600040000"
