"location_id","location_type__001","location_type__002","location_type__003","open_soon","latitude","longitude"
"dc16828","destination charger","standard charger","","0","45.5903690000","10.7105580000"
"dc19303","destination charger","standard charger","","0","43.1919230000","6.5882300000"
"dc23356","destination charger","standard charger","","0","43.1880740000","6.5899330000"
"dc24278","destination charger","standard charger","","0","40.5130180000","17.1413890000"
"dc24522","destination charger","standard charger","","0","45.4429380000","13.5106250000"
"dc24632","destination charger","standard charger","","0","43.6813440000","-1.4271470000"
"dc25583","destination charger","standard charger","","0","47.4971020000","13.3735580000"
"dc26025","destination charger","standard charger","","0","44.8554410000","7.3227060000"
"dc27923","destination charger","standard charger","","0","52.5961010000","13.8923700000"
"dc13705","destination charger","standard charger","","0","50.4094430000","9.6229380000"
"dc17267","destination charger","standard charger","","0","46.1836950000","6.7075210000"
"dc18712","destination charger","standard charger","","0","46.4679410000","7.2834420000"
"dc19489","destination charger","standard charger","","0","51.1184200000","-4.2211350000"
"dc27385","destination charger","standard charger","","0","42.4168370000","11.1849570000"
"dc28068","destination charger","standard charger","","0","53.0586920000","-1.0616940000"
"dc24135","destination charger","standard charger","","0","48.7561790000","8.2418400000"
"dc26061","destination charger","standard charger","","0","40.6427240000","8.1901890000"
"dc26672","destination charger","standard charger","","0","48.7572730000","8.2419820000"
"dc21411","destination charger","standard charger","","0","49.6023520000","6.1333570000"
"dc14369","destination charger","standard charger","","0","51.3827190000","9.5874270000"
"dc14575","destination charger","standard charger","","0","39.0592310000","17.0951880000"
"dc18489","destination charger","standard charger","","0","52.8035050000","8.9927340000"
"dc19649","destination charger","standard charger","","0","50.3576170000","5.4963750000"
"dc24845","destination charger","standard charger","","0","46.4760880000","7.2889880000"
"dc25018","destination charger","standard charger","","0","45.7691710000","3.0836310000"
"dc29415","destination charger","standard charger","","0","36.4905890000","-4.9518730000"
"dc9875","destination charger","standard charger","","0","45.9849070000","9.2284380000"
"dc17854","destination charger","standard charger","","0","54.8228270000","9.5002310000"
"dc19075","destination charger","standard charger","","0","47.8881910000","15.2815070000"
"dc21596","destination charger","standard charger","","0","46.6705350000","11.1641120000"
"dc22184","destination charger","standard charger","","0","59.2062400000","16.2333280000"
"dc22526","destination charger","standard charger","","0","66.2027590000","13.0227580000"
"dc23062","destination charger","standard charger","","0","57.2752310000","17.0478430000"
"dc23482","destination charger","standard charger","","0","61.8923040000","12.8301750000"
"dc23684","destination charger","standard charger","","0","55.6001190000","8.8026620000"
"dc24304","destination charger","standard charger","","0","59.8979160000","17.6340010000"
"dc26241","destination charger","standard charger","","0","47.5586040000","10.0211820000"
"dc27722","destination charger","standard charger","","0","62.5507140000","12.5292340000"
"dc28252","destination charger","standard charger","","0","44.0746710000","12.5634890000"
"dc28291","destination charger","standard charger","","0","57.8948270000","-4.0534500000"
"dc29425","destination charger","standard charger","","0","57.0854900000","-2.5054390000"
"dc14943","destination charger","standard charger","","0","47.6765300000","9.3268380000"
"dc19559","destination charger","standard charger","","0","47.4670380000","12.3499570000"
"dc20723","destination charger","standard charger","","0","44.6058890000","-1.2072250000"
"dc21888","destination charger","standard charger","","0","48.3487690000","13.3127980000"
"dc24302","destination charger","standard charger","","0","45.5392330000","10.7264860000"
"dc25187","destination charger","standard charger","","0","52.5250300000","13.4190270000"
"dc25681","destination charger","standard charger","","0","54.3436680000","13.7398830000"
"dc25965","destination charger","standard charger","","0","42.0067550000","9.4550980000"
"dc19253","destination charger","standard charger","","0","53.1351520000","15.4753810000"
"dc23204","destination charger","standard charger","","0","48.0974070000","1.3311540000"
"dc26746","destination charger","standard charger","","0","58.3003550000","13.1820740000"
"dc27987","destination charger","standard charger","","0","44.7564410000","4.8332620000"
"dc28609","destination charger","standard charger","","0","36.5768400000","-4.5835890000"
"dc25788","destination charger","standard charger","","0","-27.4650610000","153.0262120000"
"dc28087","destination charger","standard charger","","0","-35.2704520000","149.1309010000"
"dc28630","destination charger","standard charger","","0","-34.2043860000","142.1399460000"
"dc25438","destination charger","standard charger","","0","-38.5106320000","145.3353050000"
"dc26229","destination charger","standard charger","","0","-33.6099170000","150.8072830000"
"dc28299","destination charger","standard charger","","0","-33.7589660000","150.9915860000"
"dc26998","standard charger","destination charger","","0","-45.0282960000","168.6881840000"
"shanghaichangfendsupercharger","supercharger","standard charger","","0","31.2218570000","121.3950270000"
"dc29936","destination charger","","","0","20.7381940000","-103.4015260000"
"dc31058","destination charger","","","0","20.9058700000","-100.7327800000"
"dc14199","destination charger","","","0","40.2756820000","-74.5349300000"
"dc20180","destination charger","","","0","20.6466890000","-87.0569310000"
"dc22983","destination charger","","","0","40.7200230000","-74.0402430000"
"dc29866","destination charger","","","0","19.2573530000","-103.6940810000"
"dc22509","destination charger","","","0","28.4789650000","-81.4569600000"
"dc24894","destination charger","","","0","37.7334790000","-84.3256590000"
"dc25630","destination charger","","","0","30.1884230000","-85.6435170000"
