"location_id","location_type__001","location_type__002","open_soon","latitude","longitude"
"roscoenysupercharger","supercharger","standard charger","1","41.9331441000","-74.9134961000"
"roseburgoregonsupercharger","supercharger","standard charger","1","43.2165050000","-123.3417381000"
"rosemontillinoissupercharger","supercharger","standard charger","1","41.9867507000","-87.8721602000"
"rossonwyesupercharger","supercharger","standard charger","1","51.9323330000","-2.5628460000"
"roxburtytownshipnysupercharger","supercharger","standard charger","1","40.8930870000","-74.6668390000"
"ruijinfujansupercharger","supercharger","standard charger","1","25.9318340000","115.9980030000"
"rutlandvtsupercharger","supercharger","standard charger","1","43.6106237000","-72.9726065000"
"saintgaudensfrsupercharger","supercharger","standard charger","1","43.1068900000","0.7237600000"
"stgeorgesqcsupercharger","supercharger","standard charger","1","46.1229184000","-70.6703520000"
"stjohnnbsupercharger","supercharger","standard charger","1","45.2733153000","-66.0633081000"
"saintsauveurqcsupercharger","supercharger","standard charger","1","45.8940717000","-74.1579340000"
"sainteeulaliesupercharger","supercharger","standard charger","1","46.1020399000","-72.2396232000"
"salamancanysupercharger","supercharger","standard charger","1","40.9593520000","-5.6742350000"
"salemoregonsupercharger","supercharger","standard charger","1","44.9428975000","-123.0350963000"
"sallanchesfrsupercharger","supercharger","standard charger","1","45.9356700000","6.6317000000"
"sanantoniowaldenmeadowssupercharger","supercharger","standard charger","1","29.6168509000","-98.6164110000"
"sancarlocaliforniasupercharger","supercharger","standard charger","1","37.5071591000","-122.2605222000"
"dandimascasupercharger","supercharger","standard charger","1","34.1066756000","-117.8067257000"
"sfcaliforniasupercharger","supercharger","standard charger","1","37.7749295000","-122.4194155000"
"sanremoitsupercharger","supercharger","standard charger","1","43.8245730000","7.7723550000"
"sanduskyohsupercharger","supercharger","standard charger","1","41.4489396000","-82.7079605000"
"santaclarasupercharger","supercharger","standard charger","1","37.3541079000","-121.9552356000"
"santarosacasupercharger","supercharger","standard charger","1","38.4404290000","-122.7140548000"
"santanderessupercharger","supercharger","standard charger","1","43.4661700000","-3.8250200000"
"santiagodecompostelasupercharger","supercharger","standard charger","1","42.8805300000","-8.5457240000"
"saultstemarieonsupercharger","supercharger","standard charger","1","46.5218580000","-84.3460896000"
"savignyenterreplainesupercharger","supercharger","standard charger","1","47.4958000000","4.0859600000"
"savignyletemplesupercharger","supercharger","standard charger","1","48.5958500000","2.5809800000"
"scarboroughonsupercharger","supercharger","standard charger","1","43.7764258000","-79.2317521000"
"seattlewashingtonnorthgatesupercharger","supercharger","standard charger","1","47.7085904000","-122.3232354000"
"seattlewashingtonuniversitysupercharger","supercharger","standard charger","1","47.6631482000","-122.2982465000"
"sedonaazsupercharger","supercharger","standard charger","1","34.8697000000","-111.7610000000"
"stgeorgensupercharger","supercharger","standard charger","0","47.9292780000","13.5019320000"
"seongnampangyosupercharger","supercharger","standard charger","0","37.4036420000","127.1090510000"
"seoulseongsusupercharger","supercharger","standard charger","1","37.5458870000","127.0386440000"
"sevillaessupercharger","supercharger","standard charger","1","37.3898100000","-5.9931000000"
"shandongbinzhoushisupercharger","supercharger","standard charger","1","37.4629440000","117.9214780000"
"shandonghuludaosupercharger","supercharger","standard charger","1","40.6789060000","120.7150140000"
"shandonglaiwusupercharger","supercharger","standard charger","1","36.2627630000","117.7610770000"
"shandonglaixisupercharger","supercharger","standard charger","1","36.8924820000","120.4390330000"
"shandonglinyisupercharger","supercharger","standard charger","1","34.9149710000","118.2037620000"
"shandongrizhaosupercharger","supercharger","standard charger","1","35.4022470000","119.4133840000"
"shandongxinyisupercharger","supercharger","standard charger","1","34.3560580000","118.4951150000"
"shandongyantaisupercharger","supercharger","standard charger","1","37.5270780000","121.1910230000"
"shandongzibosupercharger","supercharger","standard charger","1","36.8629210000","117.9720710000"
"shanghailingangsupercharger","supercharger","standard charger","1","30.9307270000","121.8002960000"
"shanghaiwaigaoqiaosupercharger","supercharger","standard charger","1","31.3129860000","121.6731210000"
"shanghaijinshansupercharger","supercharger","standard charger","1","30.7465840000","121.2896520000"
"shanghaiminhangsupercharger","supercharger","standard charger","1","31.2563630000","121.3934280000"
"shanghaipudongsupercharger","supercharger","standard charger","1","31.1013920000","121.6676630000"
"shanghaiputuosupercharger","supercharger","standard charger","1","31.2520410000","121.3934280000"
"shanghaisongjiangsupercharger","supercharger","standard charger","1","31.0183270000","121.1620210000"
"shanghaiyangpusupercharger","supercharger","standard charger","1","31.2990770000","121.4960510000"
"shangluohubeisupercharger","supercharger","standard charger","1","33.8296660000","109.9978260000"
"sheffieldohsupercharger","supercharger","standard charger","1","41.4262160000","-82.0769898000"
"shekoushenzhensupercharger","supercharger","standard charger","1","22.5141960000","113.9088040000"
"shengzhouzhejiangsupercharger","supercharger","standard charger","1","29.5659050000","120.8432420000"
